City,wholeFoods,wholeFoods_Dummy,ralphs,traderJoes,bristolFarms,Combined_Competitors,Total_population_2021,Total population 2019,Total population 2017,Two_years_population_growth,Four_years_population_growth,Median_age,Households_Median_income_2021,Households Median income 2019,Households Median income 2017,Two_years_income_growth,Four_years_income_growth,unemployment_Rate,Violent_Crime,Crime_Rate,avg_housing_price,avg_apt_price,Area_sq_km,Density_per_sq_km,AADT,Public_Transit,Edu,n_voters,,
Carson,0,0,1,0,0,1,86394,84005,84071,2.84,2.76,41.95,95349,84770,77520.5,12.48,23,7.335,728,0.84,770593.5,2379,36.6055,2360.137138,1646000,3,28.8561,57717,,
Cerritos,0,0,1,1,0,2,49989,50589,50877,-1.19,-1.75,45.7,115272,105832,98175,8.92,17.41,5.9,132,0.26,961083,3202,22.7402,2198.265627,3826400,2,54.1977,32239,,
Chatsworth,0,0,0,0,0,0,41188,40839,40064,0.85,2.81,41.6,101623,91897,82738,10.58,22.83,5.8,30956,75.16,960530,2694,83.0812,495.7559592,80500,3,34,0,,
Claremont,0,0,0,1,0,1,36841,36777,36933,0.17,-0.25,41.6,112430,101270,97002,11.02,15.9,6.23,58,0.16,926726,2420,38.8761,947.651642,1584000,3,56.0203,22132,,
Compton,0,0,0,0,0,0,135869,137705,138557,-1.33,-1.94,32.16666667,62263.33333,52781.66667,46913.66667,17.96,32.72,7.596666667,2278,1.68,570829.3333,1942,38.32947,3544.765946,1182000,6,8.8133,44867,,
Covina,0,0,0,0,0,0,83421,79869,82505,4.45,1.11,37.76666667,83786.33333,75829,72241,10.49,15.98,7.193333333,568.333333,0.68,756664.6667,2274.666667,32.85404,2539.139783,2741000,7,26.4289,26719,,
Culver City,0,0,2,2,0,4,48962,47467,47522,3.15,3.03,39.05,101384.5,87995.5,80748,15.22,25.56,5.605,31212,63.75,1663953,2776,17.12754,2858.670889,607000,3,59.1538,27443,,
Diamond Bar,0,0,0,0,0,0,46270,46593,47398,-0.69,-2.38,44,99705,100480,95285,-0.77,4.64,5.45,355,0.77,986194,2992,49.0013,944.2606625,4035000,2,55.4022,29945,,
Downey,0,0,2,0,0,2,114293,112322,113358,1.75,0.82,36.16666667,80544.66667,76777,69276.33333,4.91,16.27,6.016666667,1095,0.96,776690,2172.666667,32.16897,3552.89585,1720000,2,23.793,58418,,
Duarte,0,0,0,0,0,0,27008,26380,26265,2.38,2.83,41.4,88357,74738,68599,18.22,28.8,6.74,95.5,0.35,723574,2316,18.2345,1481.148373,440000,4,30.0374,11747,,
El Monte,0,0,0,0,0,0,87993,93127,93620,-5.51,-6.01,36.15,55820.5,46780.5,42299,19.32,31.97,7.145,542.5,0.62,675312.5,1942,21.83201,4030.458029,1739280,5,12.1002,36451,,
El Segundo,1,1,1,0,0,1,17243,16731,16929,3.06,1.85,36.8,126683,109577,92942,15.61,36.3,5.98,116,0.67,1839114,2754,14.1481,1218.750221,106000,1,58.0946,11562,,
Encino,0,0,0,0,0,0,45152,45791,45682,-1.4,-1.16,44.65,118878,125531.5,114342.5,-5.3,3.97,7.105,61912,137.12,1952363.5,2904,27.7201,1628.854153,1829000,2,46.8,0,,
Gardena,0,0,1,0,0,1,86047,86329,85154,-0.33,1.05,41.3,68304.33333,59226,52914.33333,15.33,29.08,5.046666667,23966.75,27.85,766396.6667,1944,29.59153,2907.825314,513000,4,25.4152,32195,,
Glendale,1,1,3,1,0,4,176600,180027,179227,-1.9,-1.47,41.675,76706.625,69412.875,62640,10.51,22.46,7.95875,47870.5,27.11,1279352.25,2503,66.23237,2666.369934,2898400,4,40.9255,104767,,
Glendora,0,0,0,0,0,0,53839,52671,52677,2.22,2.21,40.1,103210.5,98010,88149.5,5.31,17.09,5.81,314.666667,0.58,854813,2463,51.2702,1050.103179,1482000,2,38.5545,31229,,
